iter	Passed	Remaining
0	6	6436
1	11	5923
2	16	5550
3	22	5639
4	31	6247
5	44	7311
6	49	7073
7	55	6829
8	60	6634
9	72	7212
10	83	7526
11	88	7326
12	98	7478
13	102	7249
14	113	7431
15	117	7215
16	121	7006
17	128	7005
18	136	7036
19	140	6873
20	144	6714
21	147	6547
22	150	6393
23	154	6287
24	158	6183
25	162	6090
26	165	5982
27	172	5984
28	175	5885
29	179	5789
30	182	5703
31	188	5689
32	191	5606
33	194	5523
34	201	5542
35	205	5501
36	213	5560
37	216	5491
38	220	5422
39	223	5365
40	229	5367
41	233	5324
42	236	5273
43	240	5218
44	245	5200
45	248	5158
46	252	5114
47	260	5163
48	264	5124
49	267	5085
50	274	5100
51	278	5071
52	281	5028
53	284	4985
54	290	4991
55	293	4951
56	297	4914
57	300	4873
58	305	4873
59	308	4835
60	311	4797
61	314	4765
62	320	4765
63	325	4756
64	329	4732
65	336	4757
66	339	4724
67	342	4696
68	345	4665
69	350	4661
70	354	4637
71	358	4619
72	362	4605
73	367	4593
74	370	4570
75	373	4542
76	376	4514
77	382	4516
78	385	4490
79	388	4470
80	393	4464
81	397	4446
82	400	4427
83	403	4403
84	409	4409
85	413	4395
86	417	4376
87	419	4350
88	426	4361
89	428	4336
90	431	4311
91	434	4288
92	437	4269
93	441	4256
94	445	4245
95	448	4227
96	455	4239
97	458	4217
98	460	4194
99	463	4173
100	466	4152
101	471	4149
102	474	4129
103	476	4108
104	479	4089
105	483	4073
106	486	4063
107	489	4043
108	492	4025
109	495	4006
110	501	4013
111	504	3997
112	509	3996
113	512	3981
114	516	3974
115	519	3962
116	522	3945
117	526	3932
118	534	3958
119	537	3942
120	539	3916
121	541	3899
122	549	3915
123	553	3909
124	556	3895
125	561	3897
126	567	3900
127	570	3886
128	577	3896
129	581	3891
130	584	3876
131	588	3869
132	593	3866
133	595	3850
134	598	3835
135	604	3841
136	609	3839
137	612	3827
138	616	3816
139	625	3843
140	628	3829
141	631	3817
142	639	3829
143	642	3818
144	645	3807
145	651	3811
146	655	3803
147	658	3788
148	660	3773
149	666	3775
150	670	3767
151	672	3754
152	675	3740
153	678	3726
154	683	3724
155	685	3710
156	688	3696
157	691	3683
158	696	3685
159	699	3673
160	702	3661
161	705	3648
162	708	3638
163	711	3628
164	714	3616
165	717	3605
166	720	3594
167	726	3597
168	729	3585
169	731	3573
170	734	3562
171	739	3560
172	742	3549
173	747	3546
174	751	3541
175	758	3551
176	761	3539
177	764	3528
178	767	3518
179	771	3513
180	774	3503
181	777	3492
182	780	3482
183	785	3481
184	788	3471
185	790	3461
186	793	3451
187	796	3440
188	801	3440
189	804	3429
190	807	3419
191	810	3409
192	813	3402
193	816	3393
194	819	3384
195	823	3376
196	825	3365
197	830	3364
198	833	3356
199	837	3348
200	840	3340
201	845	3339
202	849	3335
203	852	3325
204	855	3316
205	860	3316
206	864	3311
207	867	3302
208	870	3293
209	878	3303
210	884	3308
211	887	3299
212	900	3325
213	903	3319
214	908	3318
215	912	3311
216	915	3301
217	917	3292
218	921	3284
219	924	3277
220	927	3268
221	934	3276
222	938	3269
223	941	3261
224	949	3270
225	952	3263
226	955	3253
227	957	3243
228	964	3247
229	967	3239
230	970	3230
231	972	3220
232	977	3217
233	980	3210
234	983	3201
235	986	3193
236	990	3188
237	993	3182
238	996	3172
239	999	3164
240	1001	3154
241	1004	3144
242	1009	3143
243	1011	3133
244	1014	3125
245	1016	3115
246	1019	3106
247	1023	3102
248	1026	3096
249	1029	3088
250	1032	3079
251	1036	3075
252	1039	3070
253	1042	3061
254	1045	3053
255	1048	3046
256	1058	3059
257	1061	3052
258	1063	3043
259	1067	3039
260	1070	3030
261	1073	3023
262	1120	3139
263	1126	3139
264	1135	3148
265	1138	3142
266	1146	3146
267	1149	3139
